#
#  Stripped version of finals.daily.orig file
#
#
#          Bull A     Bull A      Bull A      Bull B      Bull B      Bull B
#  MJD     PM-x       PM-y        UT1-UTC     PM-x        PM-y        UT1-UTC
#
53403.00   0.089198   0.207773  -0.5218861    0.089220    0.207360   -0.5219040
53404.00   0.086551   0.206870  -0.5224171    0.086670    0.206850   -0.5224260
53405.00   0.083583   0.206138  -0.5227683    0.083920    0.206040   -0.5227550
53406.00   0.081544   0.205866  -0.5229579    0.081570    0.205850   -0.5229780
53407.00   0.078824   0.205838  -0.5231935    0.078920    0.205580   -0.5231160
53408.00   0.076009   0.205787  -0.5235614    0.076100    0.205770   -0.5237140
53409.00   0.073081   0.205511  -0.5240823    0.073150    0.205280   -0.5240730
53410.00   0.069881   0.205007  -0.5249001    0.070030    0.205020   -0.5248950
53411.00   0.066804   0.204321  -0.5260474    0.066860    0.204090   -0.5260380
53412.00   0.064032   0.203564  -0.5274687    0.064120    0.203610   -0.5274600
53413.00   0.061534   0.203227  -0.5290349    0.061670    0.203150   -0.5290210
53414.00   0.059261   0.203103  -0.5305665    0.059180    0.202910   -0.5305800
53415.00   0.057167   0.203188  -0.5319092    0.057480    0.203020   -0.5318810
53416.00   0.054644   0.203355  -0.5329893    0.054560    0.203270   -0.5329820
53417.00   0.051723   0.203158  -0.5337631    0.052100    0.202990   -0.5337520
53418.00   0.048514   0.202982  -0.5342942    0.048250    0.202830   -0.5342930
53419.00   0.045299   0.203112  -0.5347071    0.045910    0.203060   -0.5347030
53420.00   0.042672   0.203749  -0.5351354    0.042380    0.203710   -0.5351220
53421.00   0.040104   0.204528  -0.5356628    0.040510    0.204360   -0.5356850
53422.00   0.037711   0.205249  -0.5363046    0.037570    0.205130   -0.5362980
53423.00   0.035491   0.205831  -0.5371187    0.035710    0.205590   -0.5371080
53424.00   0.033293   0.206107  -0.5381067    0.033200    0.206030   -0.5380940
53425.00   0.031547   0.206232  -0.5393036    0.031760    0.205990   -0.5392940
53426.00   0.030088   0.206585  -0.5407214    0.030330    0.206570   -0.5407130
53427.00   0.029197   0.207542  -0.5423144    0.029430    0.207400   -0.5422950
53428.00   0.027670   0.208625  -0.5440523    0.027720    0.208530   -0.5440730
53429.00   0.025817   0.209840  -0.5457450    0.025890    0.209650   -0.5457110
53430.00   0.024127   0.211329  -0.5473574    0.024110    0.211090   -0.5473360
53431.00   0.021777   0.212859  -0.5488360    0.021880    0.212750   -0.5488330
53432.00   0.019378   0.214130  -0.5501178    0.019440    0.213970   -0.5500970
53433.00   0.016950   0.214888  -0.5512259    0.017160    0.214930   -0.5512200
53434.00   0.015134   0.215851  -0.5522278    0.015180    0.215700   -0.5522110
53435.00   0.012738   0.216531  -0.5531713    0.000000    0.000000    0.0000000
53436.00   0.010558   0.217070  -0.5541355    0.000000    0.000000    0.0000000
53437.00   0.008806   0.217765  -0.5552417    0.000000    0.000000    0.0000000
53438.00   0.006758   0.218630  -0.5565094    0.000000    0.000000    0.0000000
53439.00   0.004646   0.219469  -0.5578989    0.000000    0.000000    0.0000000
53440.00   0.002116   0.220380  -0.5593918    0.000000    0.000000    0.0000000
53441.00   0.000386   0.221223  -0.5609127    0.000000    0.000000    0.0000000
53442.00  -0.001411   0.221965  -0.5622917    0.000000    0.000000    0.0000000
53443.00  -0.002676   0.222526  -0.5634066    0.000000    0.000000    0.0000000
53444.00  -0.003697   0.223202  -0.5641684    0.000000    0.000000    0.0000000
53445.00  -0.005587   0.223370  -0.5645880    0.000000    0.000000    0.0000000
53446.00  -0.006897   0.223602  -0.5647672    0.000000    0.000000    0.0000000
53447.00  -0.008129   0.223964  -0.5648197    0.000000    0.000000    0.0000000
53448.00  -0.009000   0.224770  -0.5648551    0.000000    0.000000    0.0000000
53449.00  -0.009853   0.225788  -0.5649488    0.000000    0.000000    0.0000000
53450.00  -0.010752   0.226865  -0.5651214    0.000000    0.000000    0.0000000
53451.00  -0.011836   0.228183  -0.5654543    0.000000    0.000000    0.0000000
53452.00  -0.013357   0.230115  -0.5660328    0.000000    0.000000    0.0000000
53453.00  -0.015359   0.231733  -0.5668880    0.000000    0.000000    0.0000000
53454.00  -0.016630   0.233036  -0.5679461    0.000000    0.000000    0.0000000
53455.00  -0.017847   0.234493  -0.5691352    0.000000    0.000000    0.0000000
53456.00  -0.019260   0.236179  -0.5703273    0.000000    0.000000    0.0000000
53457.00  -0.020917   0.237826  -0.5714205    0.000000    0.000000    0.0000000
53458.00  -0.022446   0.239266  -0.5723283    0.000000    0.000000    0.0000000
53459.00  -0.024822   0.240180  -0.5729862    0.000000    0.000000    0.0000000
53460.00  -0.026796   0.241256  -0.5733634    0.000000    0.000000    0.0000000
53461.00  -0.028996   0.242469  -0.5735448    0.000000    0.000000    0.0000000
53462.00  -0.030749   0.243908  -0.5736219    0.000000    0.000000    0.0000000
53463.00  -0.032355   0.244910  -0.5738480    0.000000    0.000000    0.0000000
53464.00  -0.033549   0.245574  -0.5743129    0.000000    0.000000    0.0000000
53465.00  -0.034314   0.245993  -0.5750873    0.000000    0.000000    0.0000000
53466.00  -0.035092   0.246518  -0.5760683    0.000000    0.000000    0.0000000
53467.00  -0.035603   0.247955  -0.5772363    0.000000    0.000000    0.0000000
53468.00  -0.036716   0.250081  -0.5785305    0.000000    0.000000    0.0000000
53469.00  -0.038502   0.252221  -0.5797696    0.000000    0.000000    0.0000000
53470.00  -0.040638   0.253880  -0.5808118    0.000000    0.000000    0.0000000
53471.00  -0.042584   0.255277  -0.5815764    0.000000    0.000000    0.0000000
53472.00  -0.044043   0.256694  -0.5820791    0.000000    0.000000    0.0000000
53473.00  -0.045469   0.258542  -0.5823466    0.000000    0.000000    0.0000000
53474.00  -0.046115   0.260366  -0.5825923    0.000000    0.000000    0.0000000
53475.00  -0.046845   0.262272  -0.5828567    0.000000    0.000000    0.0000000
53476.00  -0.047872   0.264710  -0.5831790    0.000000    0.000000    0.0000000
53477.00  -0.049363   0.267066  -0.5836570    0.000000    0.000000    0.0000000
53478.00  -0.050998   0.269275  -0.5842978    0.000000    0.000000    0.0000000
53479.00  -0.052488   0.271589  -0.5851290    0.000000    0.000000    0.0000000
