#  eopc01_1900_2004.dat
#
#  This file comes from http://hpiers.obspm.fr/eoppc/eop/eopc01/eopc01.1900-2004. See readme.eopc01 (located
#  in the psLib/data directory) for details.
#
#  @author Ross Harman, MHPCC
#
#  @version $Revision: 1.1 $ $Name: not supported by cvs2svn $
#  @date $Date: 2006-09-23 02:20:17 $
#
#
#    Date       PM-x      PM-y     UT1-UTC
#   (year)    (arcsec)   (arcsec)   (sec)
#     psF64     psF64      psF64     psF64
    1900.00  -.212818  -.097229   .0000000
    1900.05  -.047461  -.065631   .0000000
    1900.10  -.112006  -.040467   .0000000
    1900.15  -.076710  -.009674   .0000000
    1900.20  -.099850  -.066660   .0000000
    1900.25  -.131173  -.072076   .0000000
    1900.30  -.087390  -.089427   .0000000
    1900.35  -.164078  -.131034   .0000000
    1900.40  -.151407  -.105838   .0000000
    1900.45  -.143764  -.179125   .0000000
    1900.50  -.124341  -.105747   .0000000
    1900.55  -.206229  -.144555   .0000000
    1900.60  -.192711  -.095563   .0000000
    1900.65  -.190299  -.067717   .0000000
    1900.70  -.135718  -.081480   .0000000
    1900.75  -.153807   .030568   .0000000
    1900.80  -.173818   .001034   .0000000
    1900.85  -.257716  -.006499   .0000000
    1900.90  -.209085   .046511   .0000000
    1900.95  -.133145   .004905   .0000000
    1901.00  -.138242   .014255   .0000000
    1901.05  -.162602   .006609   .0000000
    1901.10  -.121242  -.000875   .0000000
    1901.15  -.109773   .024691   .0000000
    1901.20  -.103805   .039564   .0000000
    1901.25  -.021306  -.011519   .0000000
    1901.30  -.001300   .021700   .0000000
    1901.35   .037156  -.049753   .0000000
    1901.40   .003993  -.095314   .0000000
    1901.45   .054079  -.081336   .0000000
    1901.50   .089761  -.084901   .0000000
    1901.55   .004864  -.187233   .0000000
    1901.60  -.023099  -.179528   .0000000
    1901.65  -.057910  -.197673   .0000000
    1901.70  -.033170  -.202981   .0000000
    1901.75  -.155604  -.187085   .0000000
    1901.80  -.169658  -.183163   .0000000
    1901.85  -.188623  -.181458   .0000000
    1901.90  -.223086  -.144566   .0000000
    1901.95  -.254958  -.114447   .0000000
    1902.00  -.259243  -.078157   .0000000
    1902.05  -.211792   .038633   .0000000
    1902.10  -.216991   .064250   .0000000
    1902.15  -.242537   .171246   .0000000
    1902.20  -.188324   .158468   .0000000
    1902.25  -.152570   .207171   .0000000
    1902.30  -.062244   .171387   .0000000
    1902.35  -.016045   .182141   .0000000
    1902.40   .036032   .156268   .0000000
    1902.45   .217293   .252814   .0000000
    1902.50   .119283   .066262   .0000000
    1902.55   .125538   .016781   .0000000
    1902.60   .082496  -.058369   .0000000
    1902.65   .051287  -.069631   .0000000
    1902.70   .051239  -.093785   .0000000
    1902.75  -.024248  -.151921   .0000000
    1902.80  -.054789  -.179957   .0000000
    1902.85  -.146320  -.146959   .0000000
    1902.90  -.193061  -.169534   .0000000
    1902.95  -.237694  -.119404   .0000000
    1903.00  -.319420  -.043030   .0000000
    1903.05  -.341204   .031366   .0000000
    1903.10  -.345930  -.002271   .0000000
    1903.15  -.363449   .022246   .0000000
    1903.20  -.363639   .126744   .0000000
    1903.25  -.275204   .088178   .0000000
    1903.30  -.217973   .142752   .0000000
    1903.35  -.133649   .193127   .0000000
    1903.40  -.073538   .187785   .0000000
    1903.45  -.033275   .242905   .0000000
    1903.50  -.025665   .185828   .0000000
    1903.55   .065994   .199396   .0000000
    1903.60   .124642   .131603   .0000000
    1903.65   .138085   .043707   .0000000
    1903.70   .131036  -.010458   .0000000
    1903.75   .129875  -.132885   .0000000
    1903.80   .020188  -.149501   .0000000
    1903.85  -.013164  -.224089   .0000000
    1903.90   .017200  -.148400   .0000000
    1903.95  -.054459  -.187411   .0000000
    1904.00  -.148856  -.076687   .0000000
    1904.05  -.254004  -.136031   .0000000
    1904.10  -.260513  -.134266   .0000000
    1904.15  -.250640  -.062308   .0000000
    1904.20  -.318450  -.022118   .0000000
    1904.25  -.293126   .024733   .0000000
    1904.30  -.249230   .052166   .0000000
    1904.35  -.263860   .072953   .0000000
    1904.40  -.210918   .172463   .0000000
    1904.45  -.152700   .188900   .0000000
    1904.50  -.109676   .182564   .0000000
    1904.55  -.082798   .158201   .0000000
    1904.60   .001500   .164000   .0000000
    1904.65   .042084   .134884   .0000000
    1904.70   .062535   .070240   .0000000
    1904.75   .083512   .063227   .0000000
    1904.80   .042326   .010531   .0000000
    1904.85   .042284  -.029751   .0000000
    1904.90  -.008473  -.063250   .0000000
    1904.95   .028258  -.057405   .0000000
    1905.00  -.040538  -.099671   .0000000
    1905.05  -.017099  -.158118   .0000000
    1905.10  -.105713  -.176117   .0000000
    1905.15  -.176213  -.100777   .0000000
    1905.20  -.231493  -.136695   .0000000
    1905.25  -.251440  -.151097   .0000000
    1905.30  -.248000  -.108800   .0000000
    1905.35  -.304428   .045206   .0000000
    1905.40  -.236545   .042822   .0000000
    1905.45  -.250592   .048859   .0000000
    1905.50  -.185960   .112145   .0000000
    1905.55  -.156532   .117102   .0000000
    1905.60  -.109352   .166247   .0000000
    1905.65  -.067846   .135598   .0000000
    1905.70   .014037   .151407   .0000000
    1905.75  -.034403   .175804   .0000000
    1905.80  -.031721   .049970   .0000000
    1905.85   .025746   .080453   .0000000
    1905.90   .024021  -.056728   .0000000
    1905.95   .040706  -.006383   .0000000
    1906.00   .003853  -.026096   .0000000
    1906.05  -.017613  -.075020   .0000000
    1906.10  -.157406  -.092487   .0000000
    1906.15  -.067506  -.080298   .0000000
    1906.20  -.149450  -.119103   .0000000
    1906.25  -.128247  -.061169   .0000000
    1906.30  -.179648  -.057693   .0000000
    1906.35  -.186449  -.044109   .0000000
    1906.40  -.208575  -.019448   .0000000
    1906.45  -.217870   .042944   .0000000
    1906.50  -.199891   .058881   .0000000
    1906.55  -.173543   .070934   .0000000
    1906.60  -.182003   .113024   .0000000
    1906.65  -.142776   .095154   .0000000
    1906.70  -.093740   .095224   .0000000
    1906.75  -.093900   .111200   .0000000
    1906.80  -.102758   .078405   .0000000
    1906.85  -.009641   .137918   .0000000
    1906.90  -.126885   .077766   .0000000
    1906.95  -.085940   .122947   .0000000
    1907.00  -.079416   .150174   .0000000
    1907.05  -.067350   .041498   .0000000
    1907.10  -.027042   .024883   .0000000
    1907.15  -.069913   .039794   .0000000
    1907.20  -.059194  -.025833   .0000000
    1907.25  -.032978  -.010025   .0000000
    1907.30  -.032298  -.079952   .0000000
    1907.35  -.012800  -.038790   .0000000
    1907.40  -.094517  -.051596   .0000000
    1907.45  -.089447  -.124297   .0000000
    1907.50  -.131771  -.098748   .0000000
    1907.55  -.109356  -.122489   .0000000
    1907.60  -.134764  -.084340   .0000000
    1907.65  -.150915  -.095204   .0000000
    1907.70  -.183652  -.070567   .0000000
    1907.75  -.247755  -.037271   .0000000
    1907.80  -.276782   .006594   .0000000
    1907.85  -.260675   .115176   .0000000
    1907.90  -.279309   .066165   .0000000
    1907.95  -.247411   .158512   .0000000
    1908.00  -.179825   .190418   .0000000
    1908.05  -.162104   .175855   .0000000
    1908.10  -.073775   .244495   .0000000
    1908.15  -.088534   .184551   .0000000
    1908.20   .072181   .185212   .0000000
    1908.25   .000811   .129285   .0000000
    1908.30   .094290   .125029   .0000000
    1908.35   .098031   .048028   .0000000
    1908.40   .085376  -.037173   .0000000
    1908.45   .110614  -.053618   .0000000
    1908.50   .110175  -.121985   .0000000
    1908.55   .062891  -.147259   .0000000
    1908.60   .016036  -.174778   .0000000
    1908.65  -.044507  -.258578   .0000000
    1908.70  -.126698  -.236805   .0000000
    1908.75  -.185227  -.279032   .0000000
    1908.80  -.218671  -.234349   .0000000
    1908.85  -.258124  -.193490   .0000000
    1908.90  -.348498  -.117029   .0000000
    1908.95  -.441656  -.087821   .0000000
    1909.00  -.418026   .032515   .0000000
    1909.05  -.464700   .053100   .0000000
    1909.10  -.381402   .081369   .0000000
    1909.15  -.331872   .208343   .0000000
    1909.20  -.262800   .230900   .0000000
    1909.25  -.180022   .262477   .0000000
    1909.30  -.088674   .272316   .0000000
    1909.35  -.017300   .301900   .0000000
    1909.40   .082311   .293915   .0000000
    1909.45   .145682   .242356   .0000000
    1909.50   .159939   .145514   .0000000
    1909.55   .219001   .050735   .0000000
    1909.60   .251107   .038325   .0000000
    1909.65   .216000  -.092100   .0000000
    1909.70   .239771  -.129218   .0000000
    1909.75   .122030  -.229024   .0000000
    1909.80  -.027219  -.280542   .0000000
    1909.85  -.097816  -.318227   .0000000
    1909.90  -.212272  -.273213   .0000000
    1909.95  -.262295  -.211841   .0000000
    1910.00  -.323074  -.200846   .0000000
    1910.05  -.442329  -.257217   .0000000
    1910.10  -.448532  -.107453   .0000000
    1910.15  -.408744   .030815   .0000000
    1910.20  -.414020  -.006268   .0000000
    1910.25  -.385676   .162890   .0000000
    1910.30  -.368387   .272702   .0000000
    1910.35  -.268774   .293213   .0000000
    1910.40  -.147573   .342824   .0000000
    1910.45  -.081273   .328529   .0000000
    1910.50  -.020932   .388520   .0000000
    1910.55   .105674   .327555   .0000000
    1910.60   .176301   .312524   .0000000
    1910.65   .191756   .171612   .0000000
    1910.70   .222257   .091742   .0000000
    1910.75   .211332  -.009012   .0000000
    1910.80   .205000  -.105700   .0000000
    1910.85   .120900  -.162494   .0000000
    1910.90   .083916  -.253801   .0000000
    1910.95  -.057477  -.280025   .0000000
    1911.00  -.089579  -.260914   .0000000
    1911.05  -.218786  -.263597   .0000000
    1911.10  -.224700  -.257286   .0000000
    1911.15  -.335860  -.182205   .0000000
    1911.20  -.267000  -.050900   .0000000
    1911.25  -.370633   .021540   .0000000
    1911.30  -.353109   .047330   .0000000
    1911.35  -.332727   .126340   .0000000
    1911.40  -.234107   .168826   .0000000
    1911.45  -.272718   .310644   .0000000
    1911.50  -.193283   .331807   .0000000
    1911.55  -.136796   .347029   .0000000
    1911.60  -.056770   .304448   .0000000
    1911.65   .060600   .363500   .0000000
    1911.70   .112694   .325844   .0000000
    1911.75   .129599   .242729   .0000000
    1911.80   .130866   .155825   .0000000
    1911.85   .158551   .088616   .0000000
    1911.90   .145314  -.044498   .0000000
    1911.95   .095603  -.041933   .0000000
    1912.00   .083131  -.041367   .0000000
    1912.05  -.038956  -.097988   .0000000
    1912.10   .078300  -.165300   .0000000
    1912.15  -.088995  -.223549   .0000000
    1912.20  -.127587  -.102840   .0000000
    1912.25  -.227272  -.194080   .0000000
    1912.30  -.209405  -.109730   .0000000
    1912.35  -.237021  -.041122   .0000000
    1912.40  -.262082  -.006966   .0000000
    1912.45  -.225320   .056285   .0000000
    1912.50  -.263907   .044713   .0000000
    1912.55  -.196951   .144625   .0000000
    1912.60  -.198267   .185500   .0000000
    1912.65  -.219124   .151146   .0000000
    1912.70  -.175982   .183356   .0000000
    1912.75  -.160280   .162811   .0000000
    1912.80  -.103200   .187700   .0000000
    1912.85  -.078852   .172599   .0000000
    1912.90  -.076719   .222193   .0000000
    1912.95  -.018200   .178000   .0000000
    1913.00  -.088918   .098053   .0000000
    1913.05  -.043449   .115101   .0000000
    1913.10  -.001323   .124168   .0000000
    1913.15  -.021744   .057252   .0000000
    1913.20   .011122   .015761   .0000000
    1913.25  -.010477  -.071666   .0000000
    1913.30   .032491   .003044   .0000000
    1913.35   .048101  -.050706   .0000000
    1913.40   .032669  -.039496   .0000000
    1913.45   .008311  -.068348   .0000000
    1913.50   .000027  -.047918   .0000000
    1913.55  -.076685  -.083122   .0000000
    1913.60  -.108057  -.085386   .0000000
    1913.65  -.100400  -.040800   .0000000
    1913.70  -.162152  -.081823   .0000000
    1913.75  -.223157  -.030051   .0000000
    1913.80  -.224000  -.002700   .0000000
    1913.85  -.226344   .078679   .0000000
    1913.90  -.200560   .102525   .0000000
    1913.95  -.313300   .074600   .0000000
