#
#  Stripped version of finals.all.orig file
#
#
#            Bull A      Bull A      Bull B     Bull B
#  MJD         dX          dY          dX         dY
#
48622.00     -0.086      0.130       0.129      -0.653
48623.00     -0.027      0.128       0.155      -0.575
48624.00      0.014      0.154       0.135      -0.478
48625.00      0.032      0.205      -0.006      -0.229
48626.00      0.026      0.265      -0.100      -0.226
48627.00      0.009      0.301      -0.174      -0.453
48628.00      0.002      0.282      -0.229      -0.657
48629.00      0.013      0.222      -0.255      -0.711
48630.00      0.042      0.241      -0.169      -0.647
48631.00      0.096      0.314      -0.108      -0.587
48632.00      0.172      0.312      -0.087      -0.561
48633.00      0.248      0.225      -0.085      -0.485
48634.00      0.294      0.133      -0.041      -0.340
48635.00      0.282      0.125       0.027      -0.178
48636.00      0.201      0.193       0.135      -0.334
48637.00      0.091      0.177       0.210      -0.566
48638.00     -0.002      0.116       0.225      -0.558
48639.00     -0.075      0.095       0.124      -0.240
48640.00     -0.142      0.075      -0.096      -0.028
48641.00     -0.187      0.023      -0.332      -0.004
48642.00     -0.182      0.014      -0.452      -0.247
48643.00     -0.127      0.101      -0.444      -0.380
48644.00     -0.090      0.182      -0.430      -0.393
48645.00     -0.089      0.204      -0.392      -0.499
48646.00     -0.096      0.201      -0.276      -0.639
48647.00     -0.101      0.215      -0.089      -0.809
48648.00     -0.089      0.246       0.002      -0.771
48649.00     -0.029      0.281       0.048      -0.529
48650.00      0.094      0.213       0.125      -0.451
48651.00      0.274      0.092       0.244      -0.365
48652.00      0.452      0.034       0.295      -0.396
48653.00      0.551      0.048       0.267      -0.337
48654.00      0.558      0.123       0.095      -0.483
48655.00      0.493      0.206       0.024      -0.568
48656.00      0.380      0.224       0.013      -0.764
48657.00      0.247      0.140       0.049      -0.895
48658.00      0.136      0.013       0.139      -0.735
48659.00      0.054     -0.093       0.135      -0.529
48660.00     -0.012     -0.156       0.110      -0.514
48661.00     -0.043     -0.177       0.017      -0.491
48662.00     -0.041     -0.129      -0.012      -0.493
48663.00     -0.033      0.037      -0.001      -0.519
48664.00     -0.029      0.271       0.136      -0.603
48665.00      0.006      0.334       0.277      -0.552
48666.00      0.054      0.241       0.377      -0.365
48667.00      0.048      0.146       0.365      -0.019
48668.00     -0.043      0.126       0.120       0.377
48669.00     -0.184      0.123      -0.180       0.293
48670.00     -0.286      0.085      -0.424      -0.020
48671.00     -0.290      0.044      -0.519      -0.409
48672.00     -0.218      0.028      -0.579      -0.468
48673.00     -0.105      0.066      -0.537      -0.493
48674.00      0.022      0.183      -0.434      -0.410
48675.00      0.105      0.208      -0.344      -0.380
48676.00      0.121      0.083      -0.311      -0.137
48677.00      0.083     -0.085      -0.376       0.046
48678.00      0.014     -0.158      -0.340       0.141
48679.00     -0.019     -0.039      -0.216       0.233
48680.00     -0.016      0.141      -0.069       0.202
48681.00      0.005      0.199      -0.032       0.174
48682.00      0.033      0.152      -0.086       0.171
48683.00      0.054      0.085      -0.146      -0.062
48684.00      0.062      0.033      -0.165      -0.333
48685.00      0.060      0.014       0.053      -0.473
48686.00      0.059      0.018       0.064      -0.417
48687.00      0.062      0.046       0.107      -0.279
48688.00      0.077      0.090       0.165      -0.222
48689.00      0.142      0.193       0.170      -0.303
48690.00      0.242      0.308       0.170      -0.455
48691.00      0.324      0.321       0.168      -0.584
48692.00      0.335      0.119       0.226      -0.637
48693.00      0.273     -0.024       0.349      -0.568
48694.00      0.153     -0.059       0.384      -0.333
48695.00      0.059     -0.066       0.315       0.004
48696.00      0.041     -0.024       0.149       0.212
48697.00      0.044      0.015      -0.003       0.155
48698.00     -0.010     -0.035      -0.099      -0.330
48699.00     -0.133     -0.172      -0.120      -0.836
48700.00     -0.214     -0.252      -0.054      -0.980
48701.00     -0.202     -0.200      -0.005      -0.942
48702.00     -0.122     -0.035       0.088      -0.784
48703.00     -0.033      0.064       0.180      -0.542
48704.00      0.047      0.038       0.159      -0.467
48705.00      0.129     -0.009       0.117      -0.366
48706.00      0.206      0.010       0.109      -0.324
48707.00      0.246      0.077       0.220      -0.282
48708.00      0.230      0.118       0.263      -0.190
48709.00      0.152      0.091       0.145      -0.078
48710.00      0.029      0.035      -0.022      -0.038
48711.00     -0.110     -0.000      -0.208      -0.220
48712.00     -0.220     -0.019      -0.315      -0.354
48713.00     -0.244     -0.047      -0.368      -0.509
48714.00     -0.133     -0.097      -0.407      -0.531
48715.00      0.013     -0.101      -0.315      -0.592
