#
#  Stripped version of finals.all.orig file
#
#
#          Bull A     Bull A      Bull A      Bull B      Bull B      Bull B
#  MJD     PM-x       PM-y        UT1-UTC     PM-x        PM-y        UT1-UTC
#
41684.00   0.120724   0.137066   0.8084319    0.143000    0.137000    0.8075000
41685.00   0.118971   0.135756   0.8056304    0.141000    0.134000    0.8044000
41686.00   0.117218   0.134448   0.8028036    0.139000    0.131000    0.8012000
41687.00   0.115464   0.133144   0.7998870    0.137000    0.128000    0.7981000
41688.00   0.113708   0.131846   0.7968285    0.136000    0.126000    0.7949000
41689.00   0.111948   0.130558   0.7935963    0.134000    0.123000    0.7918000
41690.00   0.110180   0.129282   0.7901851    0.132000    0.122000    0.7887000
41691.00   0.108401   0.128020   0.7866194    0.130000    0.120000    0.7855000
41692.00   0.106607   0.126775   0.7829530    0.128000    0.119000    0.7824000
41693.00   0.104795   0.125551   0.7792628    0.126000    0.117000    0.7792000
41694.00   0.102960   0.124351   0.7756359    0.124000    0.116000    0.7761000
41695.00   0.101103   0.123180   0.7721500    0.122000    0.114000    0.7730000
41696.00   0.099219   0.122040   0.7688519    0.120000    0.113000    0.7698000
41697.00   0.097304   0.120936   0.7657376    0.118000    0.111000    0.7667000
41698.00   0.095355   0.119870   0.7627466    0.116000    0.110000    0.7635000
41699.00   0.093368   0.118846   0.7597749    0.114000    0.108000    0.7604000
41700.00   0.091341   0.117865   0.7567072    0.112000    0.106000    0.7573000
41701.00   0.089273   0.116926   0.7534582    0.110000    0.105000    0.7541000
41702.00   0.087167   0.116031   0.7500021    0.107000    0.103000    0.7510000
41703.00   0.085025   0.115178   0.7463792    0.105000    0.102000    0.7478000
41704.00   0.082853   0.114370   0.7426762    0.103000    0.100000    0.7447000
41705.00   0.080657   0.113605   0.7389931    0.101000    0.098000    0.7415000
41706.00   0.078440   0.112884   0.7354139    0.099000    0.097000    0.7383000
41707.00   0.076205   0.112202   0.7319919    0.096000    0.095000    0.7352000
41708.00   0.073954   0.111559   0.7287489    0.094000    0.094000    0.7320000
41709.00   0.071691   0.110952   0.7256811    0.092000    0.092000    0.7288000
41710.00   0.069420   0.110378   0.7227643    0.090000    0.091000    0.7256000
41711.00   0.067147   0.109836   0.7199568    0.088000    0.089000    0.7224000
41712.00   0.064874   0.109325   0.7172012    0.086000    0.088000    0.7193000
41713.00   0.062607   0.108846   0.7144307    0.084000    0.087000    0.7161000
41714.00   0.060349   0.108400   0.7115769    0.082000    0.086000    0.7129000
41715.00   0.058100   0.107987   0.7085797    0.079000    0.084000    0.7096000
41716.00   0.055865   0.107608   0.7053972    0.077000    0.083000    0.7063000
41717.00   0.053644   0.107263   0.7020146    0.075000    0.082000    0.7031000
41718.00   0.051441   0.106954   0.6984511    0.073000    0.080000    0.6998000
41719.00   0.049257   0.106681   0.6947614    0.071000    0.079000    0.6965000
41720.00   0.047093   0.106442   0.6910290    0.069000    0.080000    0.6932000
41721.00   0.044951   0.106239   0.6873489    0.067000    0.081000    0.6899000
41722.00   0.042831   0.106070   0.6838052    0.066000    0.082000    0.6866000
41723.00   0.040732   0.105935   0.6804490    0.064000    0.083000    0.6833000
41724.00   0.038653   0.105832   0.6772827    0.062000    0.085000    0.6800000
41725.00   0.036593   0.105760   0.6742568    0.060000    0.086000    0.6767000
41726.00   0.034550   0.105717   0.6712808    0.058000    0.087000    0.6734000
41727.00   0.032521   0.105702   0.6682469    0.057000    0.088000    0.6701000
41728.00   0.030505   0.105715   0.6650607    0.055000    0.089000    0.6668000
