#
#  Stripped version of finals.all.orig file
#
#
#           Bull A  Bull A  Bull B  Bull B
#  MJD        dX      dY      dX      dY
#
41684.00    44.969  2.839   0.000   0.000
41685.00    45.005  2.762   0.000   0.000
41686.00    45.122  2.851   0.000   0.000
41687.00    45.344  3.02    0.000   0.000
41688.00    45.623  3.115   0.000   0.000
41689.00    45.812  3.086   0.000   0.000
41690.00    45.804  3.014   0.000   0.000
41691.00    45.647  2.993   0.000   0.000
41692.00    45.466  3.049   0.000   0.000
41693.00    45.326  3.164   0.000   0.000
41694.00    45.177  3.328   0.000   0.000
41695.00    44.931  3.504   0.000   0.000
41696.00    44.607  3.585   0.000   0.000
41697.00    44.381  3.456   0.000   0.000
41698.00    44.444  3.159   0.000   0.000
41699.00    44.789  2.911   0.000   0.000
41700.00    45.213  2.902   0.000   0.000
41701.00    45.571  3.082   0.000   0.000
41702.00    45.88   3.232   0.000   0.000
41703.00    46.144  3.212   0.000   0.000
41704.00    46.215  3.08    0.000   0.000
41705.00    45.986  2.953   0.000   0.000
41706.00    45.602  2.872   0.000   0.000
41707.00    45.321  2.83    0.000   0.000
41708.00    45.204  2.845   0.000   0.000
41709.00    45.127  2.911   0.000   0.000
41710.00    45.037  2.932   0.000   0.000
41711.00    45.034  2.807   0.000   0.000
41712.00    45.159  2.575   0.000   0.000
41713.00    45.302  2.396   0.000   0.000
41714.00    45.368  2.374   0.000   0.000
41715.00    45.424  2.457   0.000   0.000
41716.00    45.573  2.528   0.000   0.000
41717.00    45.777  2.546   0.000   0.000
41718.00    45.873  2.551   0.000   0.000
41719.00    45.754  2.591   0.000   0.000
41720.00    45.463  2.668   0.000   0.000
41721.00    45.133  2.756   0.000   0.000
41722.00    44.868  2.829   0.000   0.000
41723.00    44.688  2.858   0.000   0.000
41724.00    44.561  2.796   0.000   0.000
41725.00    44.488  2.592   0.000   0.000
41726.00    44.523  2.256   0.000   0.000
41727.00    44.706  1.91    0.000   0.000
41728.00    45.014  1.74    0.000   0.000
41729.00    45.369  1.834   0.000   0.000
41730.00    45.69   2.09    0.000   0.000
41731.00    45.896  2.292   0.000   0.000
41732.00    45.915  2.292   0.000   0.000
41733.00    45.743  2.108   0.000   0.000
41734.00    45.478  1.871   0.000   0.000
41735.00    45.236  1.717   0.000   0.000
41736.00    45.062  1.699   0.000   0.000
41737.00    44.96   1.744   0.000   0.000
41738.00    44.978  1.702   0.000   0.000
41739.00    45.179  1.485   0.000   0.000
41740.00    45.518  1.18    0.000   0.000
41741.00    45.826  0.966   0.000   0.000
41742.00    45.957  0.925   0.000   0.000
41743.00    45.948  0.981   0.000   0.000
41744.00    45.972  1.036   0.000   0.000
41745.00    46.134  1.098   0.000   0.000
41746.00    46.333  1.23    0.000   0.000
41747.00    46.349  1.411   0.000   0.000
41748.00    46.073  1.53    0.000   0.000
41749.00    45.63   1.491   0.000   0.000
41750.00    45.282  1.305   0.000   0.000
41751.00    45.2    1.053   0.000   0.000
41752.00    45.348  0.809   0.000   0.000
41753.00    45.567  0.583   0.000   0.000
41754.00    45.749  0.342   0.000   0.000
41755.00    45.908  0.085   0.000   0.000
41756.00    46.111  -0.101  0.000   0.000
41757.00    46.359  -0.097  0.000   0.000
41758.00    46.565  0.113   0.000   0.000
41759.00    46.646  0.377   0.000   0.000
41760.00    46.625  0.491   0.000   0.000
41761.00    46.599  0.371   0.000   0.000
41762.00    46.602  0.123   0.000   0.000
41763.00    46.573  -0.074  0.000   0.000
41764.00    46.479  -0.128  0.000   0.000
41765.00    46.407  -0.113  0.000   0.000
41766.00    46.482  -0.191  0.000   0.000
41767.00    46.738  -0.435  0.000   0.000
41768.00    47.096  -0.719  0.000   0.000
41769.00    47.439  -0.841  0.000   0.000
41770.00    47.66   -0.755  0.000   0.000
41771.00    47.708  -0.619  0.000   0.000
41772.00    47.656  -0.586  0.000   0.000
41773.00    47.657  -0.594  0.000   0.000
41774.00    47.755  -0.472  0.000   0.000
41775.00    47.777  -0.208  0.000   0.000
41776.00    47.525  -0.014  0.000   0.000
41777.00    47.067  -0.098  0.000   0.000
41778.00    46.721  -0.445  0.000   0.000
41779.00    46.735  -0.857  0.000   0.000
41780.00    47.048  -1.157  0.000   0.000
41781.00    47.407  -1.31   0.000   0.000
41782.00    47.621  -1.381  0.000   0.000
41783.00    47.697  -1.438  0.000   0.000
41784.00    47.76   -1.487  0.000   0.000
41785.00    47.893  -1.478  0.000   0.000
41786.00    48.042  -1.369  0.000   0.000
