#  ser7.dat
#
#  This file comes from http://maia.usno.navy.mil (Click on General Information about Earth Orientation). This
#  file may also be directly downloaded from ftp://maia.usno.navy.mil/ser7/ser7.dat. See readme.ser7 (located
#  in the psLib/data directory) for details.
#
#  @author Ross Harman, MHPCC
#
#  @version $Revision: 1.1 $ $Name: not supported by cvs2svn $
#  @date $Date: 2006-09-23 02:20:18 $
#
#
#        MJD         PM-x        PM-y       UT1-UTC
#      (days)      (arcsec)    (arcsec)      (sec)
#        psF64        psF64       psF64       psF64
        53244       0.1377      0.5027     -0.45210
        53245       0.1394      0.5015     -0.45190
        53246       0.1411      0.5002     -0.45197
        53247       0.1429      0.4989     -0.45234
        53248       0.1447      0.4976     -0.45293
        53249       0.1465      0.4962     -0.45361
        53250       0.1484      0.4948     -0.45424
        53251       0.1503      0.4934     -0.45476
        53252       0.1521      0.4920     -0.45512
        53253       0.1540      0.4905     -0.45530
        53254       0.1558      0.4890     -0.45531
        53255       0.1577      0.4874     -0.45519
        53256       0.1595      0.4859     -0.45497
        53257       0.1613      0.4843     -0.45474
        53258       0.1631      0.4827     -0.45458
        53259       0.1649      0.4810     -0.45456
        53260       0.1667      0.4794     -0.45474
        53261       0.1684      0.4777     -0.45514
        53262       0.1701      0.4760     -0.45578
        53263       0.1717      0.4742     -0.45660
        53264       0.1734      0.4725     -0.45754
        53265       0.1750      0.4707     -0.45849
        53266       0.1765      0.4689     -0.45932
        53267       0.1780      0.4671     -0.45996
        53268       0.1795      0.4652     -0.46036
        53269       0.1810      0.4634     -0.46055
        53270       0.1824      0.4615     -0.46061
        53271       0.1838      0.4596     -0.46068
        53272       0.1852      0.4576     -0.46086
        53273       0.1865      0.4557     -0.46126
        53274       0.1878      0.4537     -0.46192
        53275       0.1890      0.4517     -0.46280
        53276       0.1902      0.4497     -0.46382
        53277       0.1914      0.4477     -0.46486
        53278       0.1925      0.4457     -0.46581
        53279       0.1936      0.4436     -0.46658
        53280       0.1946      0.4415     -0.46715
        53281       0.1956      0.4394     -0.46750
        53282       0.1966      0.4373     -0.46766
        53283       0.1976      0.4352     -0.46772
        53284       0.1985      0.4331     -0.46773
        53285       0.1993      0.4309     -0.46778
        53286       0.2001      0.4288     -0.46795
        53287       0.2009      0.4266     -0.46830
        53288       0.2017      0.4244     -0.46887
        53289       0.2024      0.4222     -0.46968
        53290       0.2031      0.4200     -0.47071
        53291       0.2037      0.4178     -0.47191
        53292       0.2043      0.4155     -0.47317
        53293       0.2049      0.4133     -0.47435
        53294       0.2054      0.4111     -0.47536
        53295       0.2059      0.4088     -0.47610
        53296       0.2063      0.4065     -0.47659
        53297       0.2067      0.4042     -0.47691
        53298       0.2071      0.4020     -0.47718
        53299       0.2075      0.3997     -0.47755
        53300       0.2078      0.3974     -0.47811
        53301       0.2080      0.3951     -0.47893
        53302       0.2083      0.3928     -0.47998
        53303       0.2085      0.3905     -0.48119
        53304       0.2086      0.3881     -0.48247
        53305       0.2088      0.3858     -0.48369
        53306       0.2089      0.3835     -0.48477
        53307       0.2089      0.3812     -0.48565
        53308       0.2090      0.3789     -0.48630
        53309       0.2089      0.3765     -0.48674
        53310       0.2089      0.3742     -0.48701
        53311       0.2088      0.3719     -0.48718
        53312       0.2088      0.3696     -0.48732
        53313       0.2086      0.3672     -0.48753
        53314       0.2085      0.3649     -0.48785
        53315       0.2082      0.3626     -0.48835
        53316       0.2080      0.3603     -0.48906
        53317       0.2077      0.3579     -0.48997
        53318       0.2074      0.3556     -0.49106
        53319       0.2071      0.3533     -0.49226
        53320       0.2067      0.3510     -0.49344
        53321       0.2063      0.3487     -0.49449
        53322       0.2059      0.3464     -0.49531
        53323       0.2054      0.3441     -0.49585
        53324       0.2049      0.3418     -0.49618
        53325       0.2044      0.3396     -0.49639
        53326       0.2038      0.3373     -0.49664
        53327       0.2032      0.3350     -0.49705
        53328       0.2026      0.3328     -0.49769
        53329       0.2020      0.3305     -0.49854
        53330       0.2013      0.3283     -0.49953
        53331       0.2006      0.3261     -0.50058
        53332       0.1999      0.3239     -0.50158
        53333       0.1991      0.3217     -0.50243
        53334       0.1983      0.3195     -0.50308
        53335       0.1975      0.3173     -0.50350
        53336       0.1967      0.3151     -0.50369
        53337       0.1958      0.3130     -0.50370
        53338       0.1949      0.3108     -0.50358
        53339       0.1940      0.3087     -0.50342
        53340       0.1931      0.3066     -0.50329
        53341       0.1921      0.3045     -0.50327
