#
#  This file is used to generate psErrorCode.h content
#
# Format:
#    ERROR_CLASS_NAME    ERROR_CLASS_DESCRIPTION
#
# Note: the ERROR_CLASS_NAME will appear in the code with a "PS_ERR_" prefix
#
UNKNOWN                        unknown psLib error
IO                             I/O error
LOCATION_INVALID               specified location is unknown
MEMORY_CORRUPTION              memory corruption detected
MEMORY_DEREF_USAGE             dereferenced memory still used
BAD_PARAMETER_VALUE            parameter is out-of-range
BAD_PARAMETER_TYPE             parameter is of unsupported type
BAD_PARAMETER_NULL             parameter is null
BAD_PARAMETER_SIZE             size of parameter's data is outside of acceptable range.
UNEXPECTED_NULL                unexpected NULL found
OS_CALL_FAILED                 unexpected result from an OS standard library call.
BAD_FITS		       file doesn't obey FITS standard
IEEE			       a NaN or Inf was detected
DB_CLIENT                      Database error originated in the client library
DB_SERVER                      Database error generated by the server
PROGRAMMING                    Known programming error
